#,Name,Start
M1,Begrüßung,0:21.295
M2,Meta: Wird sind wieder da,0:58.739
M3,Thema: Paid Staff,7:07.527
M4,Thema: Fossgis Förderanträge,1:03:26.799
M5,Thema: OSM-Hacking WE bei der Fossgis in Bonn,1:27:46.115
M6,Verabschiedung,1:38:15.072
